"filename", "language", "GDResource", "GDScene", "Markdown", "gdshader", "GDScript", "Properties", "JSON", "XML", "comment", "blank", "total"
"e:\Projects\ArkPvZ\addons\sprite_painter\src\image_view\image_tool_preview.gd", "GDScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 7, 16
"e:\Projects\ArkPvZ\addons\sprite_painter\src\image_view\image_view.gd", "GDScript", 0, 0, 0, 0, 66, 0, 0, 0, 1, 26, 93
"e:\Projects\ArkPvZ\addons\sprite_painter\src\image_view\resize_rect.gd", "GDScript", 0, 0, 0, 0, 38, 0, 0, 0, 0, 14, 52
"e:\Projects\ArkPvZ\addons\sprite_painter\src\image_view\resize_rect.tscn", "GDScene", 0, 83, 0, 0, 0, 0, 0, 0, 0, 7, 90
"e:\Projects\ArkPvZ\addons\sprite_painter\src\main.gd", "GDScript", 0, 0, 0, 0, 124, 0, 0, 0, 24, 57, 205
"e:\Projects\ArkPvZ\addons\sprite_painter\src\main.tscn", "GDScene", 0, 885, 0, 0, 0, 0, 0, 0, 0, 127, 1012
"e:\Projects\ArkPvZ\addons\sprite_painter\src\workspace.gd", "GDScript", 0, 0, 0, 0, 153, 0, 0, 0, 2, 49, 204
"e:\Projects\ArkPvZ\addons\todo_controller\config.gd", "GDScript", 0, 0, 0, 0, 16, 0, 0, 0, 6, 4, 26
"e:\Projects\ArkPvZ\addons\todo_controller\config\config.tres", "GDResource", 345, 0, 0, 0, 0, 0, 0, 0, 0, 3, 348
"e:\Projects\ArkPvZ\addons\todo_controller\icon\icon.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 0, 0, 6, 41
"e:\Projects\ArkPvZ\addons\todo_controller\plugin.cfg", "Properties", 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"e:\Projects\ArkPvZ\addons\todo_controller\todo_controller.gd", "GDScript", 0, 0, 0, 0, 36, 0, 0, 0, 10, 12, 58
"e:\Projects\ArkPvZ\addons\todo_controller\ui\black_bar.gd", "GDScript", 0, 0, 0, 0, 10, 0, 0, 0, 2, 6, 18
"e:\Projects\ArkPvZ\addons\todo_controller\ui\black_bar.tscn", "GDScene", 0, 35, 0, 0, 0, 0, 0, 0, 0, 8, 43
"e:\Projects\ArkPvZ\addons\todo_controller\ui\script_rmb_panel.gd", "GDScript", 0, 0, 0, 0, 71, 0, 0, 0, 11, 20, 102
"e:\Projects\ArkPvZ\addons\todo_controller\ui\script_rmb_panel.tscn", "GDScene", 0, 96, 0, 0, 0, 0, 0, 0, 0, 19, 115
"e:\Projects\ArkPvZ\addons\todo_controller\ui\todo_controller_panel.gd", "GDScript", 0, 0, 0, 0, 758, 0, 0, 0, 69, 164, 991
"e:\Projects\ArkPvZ\addons\todo_controller\ui\todo_controller_panel.tscn", "GDScene", 0, 600, 0, 0, 0, 0, 0, 0, 0, 125, 725
"e:\Projects\ArkPvZ\animation\character\plant\002_sun_flower\SunFlower_blink.tres", "GDResource", 2095, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2098
"e:\Projects\ArkPvZ\animation\character\plant\002_sun_flower\SunFlower_idle.tres", "GDResource", 2098, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2101
"e:\Projects\ArkPvZ\animation\character\plant\003_cherry_bomb\CherryBomb_explode.tres", "GDResource", 1646, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1649
"e:\Projects\ArkPvZ\animation\character\plant\003_cherry_bomb\CherryBomb_idle.tres", "GDResource", 1619, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1622
"e:\Projects\ArkPvZ\animation\character\plant\004_wall_nut\Wallnut_blink_thrice.tres", "GDResource", 67, 0, 0, 0, 0, 0, 0, 0, 0, 3, 70
"e:\Projects\ArkPvZ\animation\character\plant\004_wall_nut\Wallnut_blink_twice.tres", "GDResource", 282, 0, 0, 0, 0, 0, 0, 0, 0, 3, 285
"e:\Projects\ArkPvZ\animation\character\plant\004_wall_nut\Wallnut_blink_twitch.tres", "GDResource", 294, 0, 0, 0, 0, 0, 0, 0, 0, 3, 297
"e:\Projects\ArkPvZ\animation\character\plant\004_wall_nut\Wallnut_face.tres", "GDResource", 244, 0, 0, 0, 0, 0, 0, 0, 0, 2, 246
"e:\Projects\ArkPvZ\animation\character\plant\004_wall_nut\Wallnut_idle.tres", "GDResource", 222, 0, 0, 0, 0, 0, 0, 0, 0, 2, 224
"e:\Projects\ArkPvZ\animation\character\plant\005_potato_mine\PotatoMine_armed.tres", "GDResource", 1265, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1268
